id,country,year,gdp_growth,employment_thousands,sector
161,South Africa,1985,-1.2115408824038667,7247.0869140625,Total
162,South Africa,1985,-1.2115408824038667,988.293109034695,Agriculture
163,South Africa,1985,-1.2115408824038667,493.6640021150931,Mining
164,South Africa,1985,-1.2115408824038667,1453.772942540617,Manufacturing
165,South Africa,1985,-1.2115408824038667,58.88182874882508,Utilities
166,South Africa,1985,-1.2115408824038667,493.70714830817167,Construction
167,South Africa,1985,-1.2115408824038667,1496.0263813681536,Trade services
168,South Africa,1985,-1.2115408824038667,394.4420327380303,Transport services
169,South Africa,1985,-1.2115408824038667,397.7682550944341,Finance and business services
170,South Africa,1985,-1.2115408824038667,1470.5310741658277,Other services
171,South Africa,1981,5.360791059640448,6551.28662109375,Total
172,South Africa,1981,5.360791059640448,929.010791054508,Agriculture
173,South Africa,1981,5.360791059640448,470.2058434950362,Mining
174,South Africa,1981,5.360791059640448,1385.2375139078777,Manufacturing
175,South Africa,1981,5.360791059640448,45.21449739817481,Utilities
176,South Africa,1981,5.360791059640448,402.39940435879953,Construction
177,South Africa,1981,5.360791059640448,1343.8200540132375,Trade services
178,South Africa,1981,5.360791059640448,359.1988092083932,Transport services
179,South Africa,1981,5.360791059640448,306.63893430414186,Finance and business services
180,South Africa,1981,5.360791059640448,1309.5606766977703,Other services
181,South Africa,1983,-1.8465577459506333,6898.32275390625,Total
182,South Africa,1983,-1.8465577459506333,961.245301940123,Agriculture
183,South Africa,1983,-1.8465577459506333,448.47045717579465,Mining
184,South Africa,1983,-1.8465577459506333,1416.758834701637,Manufacturing
185,South Africa,1983,-1.8465577459506333,52.69359708028353,Utilities
186,South Africa,1983,-1.8465577459506333,459.7490130731391,Construction
187,South Africa,1983,-1.8465577459506333,1412.4100769200095,Trade services
188,South Africa,1983,-1.8465577459506333,372.1864218104808,Transport services
189,South Africa,1983,-1.8465577459506333,357.6182341900504,Finance and business services
190,South Africa,1983,-1.8465577459506333,1417.1906077137523,Other services
191,South Africa,1982,-0.3834191083754348,6727.025390625,Total
192,South Africa,1982,-0.3834191083754348,945.2668895096282,Agriculture
193,South Africa,1982,-0.3834191083754348,450.2458435683173,Mining
194,South Africa,1982,-0.3834191083754348,1415.643514003367,Manufacturing
195,South Africa,1982,-0.3834191083754348,48.46598069357974,Utilities
196,South Africa,1982,-0.3834191083754348,442.1338323373787,Construction
197,South Africa,1982,-0.3834191083754348,1377.0117592089423,Trade services
198,South Africa,1982,-0.3834191083754348,366.5049249199538,Transport services
199,South Africa,1982,-0.3834191083754348,329.0690758583811,Finance and business services
200,South Africa,1982,-0.3834191083754348,1352.6833731569957,Other services
201,South Africa,1966,4.438386089468892,5157.68408203125,Total
202,South Africa,1966,4.438386089468892,1259.3349951858204,Agriculture
203,South Africa,1966,4.438386089468892,403.8705167811873,Mining
204,South Africa,1966,4.438386089468892,870.5381152265808,Manufacturing
205,South Africa,1966,4.438386089468892,23.38754947965197,Utilities
206,South Africa,1966,4.438386089468892,296.5190290317609,Construction
207,South Africa,1966,4.438386089468892,948.6326688851566,Trade services
208,South Africa,1966,4.438386089468892,245.3271812875017,Transport services
209,South Africa,1966,4.438386089468892,175.32253850244405,Finance and business services
210,South Africa,1966,4.438386089468892,934.75150307997,Other services
211,South Africa,1974,6.111122103721883,5894.05029296875,Total
212,South Africa,1974,6.111122103721883,1088.4364460506397,Agriculture
213,South Africa,1974,6.111122103721883,387.58377946619606,Mining
214,South Africa,1974,6.111122103721883,1084.1577196858718,Manufacturing
215,South Africa,1974,6.111122103721883,32.64671404671043,Utilities
216,South Africa,1974,6.111122103721883,478.15246963537777,Construction
217,South Africa,1974,6.111122103721883,1181.3275135779663,Trade services
218,South Africa,1974,6.111122103721883,310.5224530913422,Transport services
219,South Africa,1974,6.111122103721883,234.96215488273225,Finance and business services
220,South Africa,1974,6.111122103721883,1096.2611897976142,Other services
221,South Africa,1972,1.6548297088469894,5768.84130859375,Total
222,South Africa,1972,1.6548297088469894,1118.6742026240452,Agriculture
223,South Africa,1972,1.6548297088469894,392.5245668044325,Mining
224,South Africa,1972,1.6548297088469894,1038.2174592516262,Manufacturing
225,South Africa,1972,1.6548297088469894,31.143238968002752,Utilities
226,South Africa,1972,1.6548297088469894,390.2485135926301,Construction
227,South Africa,1972,1.6548297088469894,1176.3153121542637,Trade services
228,South Africa,1972,1.6548297088469894,301.1229473051946,Transport services
229,South Africa,1972,1.6548297088469894,228.7514508108626,Finance and business services
230,South Africa,1972,1.6548297088469894,1091.8437147158518,Other services
231,South Africa,1971,4.278934402969824,5701.13818359375,Total
232,South Africa,1971,4.278934402969824,1129.9241348987273,Agriculture
233,South Africa,1971,4.278934402969824,402.25025904301066,Mining
234,South Africa,1971,4.278934402969824,1014.01375660268,Manufacturing
235,South Africa,1971,4.278934402969824,30.251490772124185,Utilities
236,South Africa,1971,4.278934402969824,383.54081894170895,Construction
237,South Africa,1971,4.278934402969824,1141.3029355012309,Trade services
238,South Africa,1971,4.278934402969824,298.4160876357748,Transport services
239,South Africa,1971,4.278934402969824,216.53382362463617,Finance and business services
240,South Africa,1971,4.278934402969824,1084.904664005967,Other services
241,South Africa,1967,7.196523065141065,5273.88818359375,Total
242,South Africa,1967,7.196523065141065,1228.4156361668342,Agriculture
243,South Africa,1967,7.196523065141065,396.3478700315516,Mining
244,South Africa,1967,7.196523065141065,902.9974389017644,Manufacturing
245,South Africa,1967,7.196523065141065,24.0180168028734,Utilities
246,South Africa,1967,7.196523065141065,329.8127330266698,Construction
247,South Africa,1967,7.196523065141065,979.8600231290092,Trade services
248,South Africa,1967,7.196523065141065,253.9513683171301,Transport services
249,South Africa,1967,7.196523065141065,184.1354952994478,Finance and business services
250,South Africa,1967,7.196523065141065,974.3498436481852,Other services
251,South Africa,1964,7.939608644806768,4930.19775390625,Total
252,South Africa,1964,7.939608644806768,1319.691574491004,Agriculture
253,South Africa,1964,7.939608644806768,399.99459946236095,Mining
254,South Africa,1964,7.939608644806768,779.0277139144246,Manufacturing
256,South Africa,1964,7.939608644806768,263.57357500681394,Construction
257,South Africa,1964,7.939608644806768,894.0937521449333,Trade services
258,South Africa,1964,7.939608644806768,222.1013984839124,Transport services
259,South Africa,1964,7.939608644806768,158.6646218766137,Finance and business services
260,South Africa,1964,7.939608644806768,872.3711271947464,Other services
261,South Africa,1965,6.122798096014421,5064.76123046875,Total
262,South Africa,1965,6.122798096014421,1289.4392248081958,Agriculture
263,South Africa,1965,6.122798096014421,401.7970466842861,Mining
264,South Africa,1965,6.122798096014421,850.2838291711755,Manufacturing
265,South Africa,1965,6.122798096014421,21.60922286455478,Utilities
266,South Africa,1965,6.122798096014421,278.73761462765015,Construction
267,South Africa,1965,6.122798096014421,920.9595595238056,Trade services
268,South Africa,1965,6.122798096014421,233.04077235218767,Transport services
269,South Africa,1965,6.122798096014421,166.78574124183953,Finance and business services
270,South Africa,1965,6.122798096014421,902.1083583508064,Other services
271,South Africa,2014,1.4138264522379274,15415.9423828125,Total
272,South Africa,2014,1.4138264522379274,716.767,Agriculture
273,South Africa,2014,1.4138264522379274,431.21,Mining
274,South Africa,2014,1.4138264522379274,1793.135,Manufacturing
275,South Africa,2014,1.4138264522379274,118.438,Utilities
276,South Africa,2014,1.4138264522379274,1267.911,Construction
277,South Africa,2014,1.4138264522379274,3263.975830078125,Trade services
278,South Africa,2014,1.4138264522379274,947.216,Transport services
279,South Africa,2014,1.4138264522379274,2072.48291015625,Finance and business services
280,South Africa,2014,1.4138264522379274,4804.80712890625,Other services
281,South Africa,2008,3.1910438863287998,15076.0537109375,Total
