REF_AREA_LABEL,TIME_PERIOD,GDP_Growth,Employment_Thousands,Sector
South Africa,1964,7.939608644806768,1319.691574491004,Sector: Agriculture
South Africa,1964,7.939608644806768,399.99459946236095,Sector: Mining
South Africa,1964,7.939608644806768,779.0277139144246,Sector: Manufacturing
South Africa,1964,7.939608644806768,20.67919445395677,Sector: Utilities
South Africa,1964,7.939608644806768,263.57357500681394,Sector: Construction
South Africa,1964,7.939608644806768,894.0937521449333,Sector: Trade services
South Africa,1964,7.939608644806768,222.1013984839124,Sector: Transport services
South Africa,1964,7.939608644806768,158.6646218766137,Sector: Finance and business services
South Africa,1964,7.939608644806768,872.3711271947464,Sector: Other services
South Africa,1965,6.122798096014421,5064.76123046875,Sector: Total
South Africa,1965,6.122798096014421,1289.4392248081958,Sector: Agriculture
South Africa,1965,6.122798096014421,401.7970466842861,Sector: Mining
South Africa,1965,6.122798096014421,850.2838291711755,Sector: Manufacturing
South Africa,1965,6.122798096014421,21.60922286455478,Sector: Utilities
South Africa,1965,6.122798096014421,278.73761462765015,Sector: Construction
South Africa,1965,6.122798096014421,920.9595595238056,Sector: Trade services
South Africa,1965,6.122798096014421,233.04077235218767,Sector: Transport services
South Africa,1965,6.122798096014421,166.78574124183953,Sector: Finance and business services
South Africa,1965,6.122798096014421,902.1083583508064,Sector: Other services
South Africa,2014,1.4138264522379274,15415.9423828125,Sector: Total
South Africa,2014,1.4138264522379274,716.767,Sector: Agriculture
South Africa,2014,1.4138264522379274,431.21,Sector: Mining
South Africa,2014,1.4138264522379274,1793.135,Sector: Manufacturing
South Africa,2014,1.4138264522379274,118.438,Sector: Utilities
South Africa,2014,1.4138264522379274,1267.911,Sector: Construction
South Africa,2014,1.4138264522379274,3263.975830078125,Sector: Trade services
South Africa,2014,1.4138264522379274,947.216,Sector: Transport services
South Africa,2014,1.4138264522379274,2072.48291015625,Sector: Finance and business services
South Africa,2014,1.4138264522379274,4804.80712890625,Sector: Other services
